,geometry,color,mw,plantName,year
26,"6657    POLYGON ((268344.817 4216147.102, 268281.752 4...
6658    POLYGON ((268344.817 4216147.102, 268281.752 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",13096754.0,North Anna-NUC,2001
29,"5714    POLYGON ((361850.989 4114649.390, 361790.016 4...
5715    POLYGON ((361850.989 4114649.390, 361790.016 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",12662376.0,Surry-NUC,2001
2,"5681     POLYGON ((297105.939 4139937.730, 297066.874 4...
5682     POLYGON ((297105.939 4139937.730, 297066.874 4...
26156    POLYGON ((297105.939 4139937.730, 297066.874 4...
26157    POLYGON ((297105.939 4139937.730, 297066.874 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8112635.0,Chesterfield-BIT,2001
14,"7527    POLYGON ((176483.317 4086749.144, 176451.150 4...
7528    POLYGON ((176483.317 4086749.144, 176451.150 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6680121.0,Clover-BIT,2001
45,"26159    POLYGON ((388030.272 4070270.512, 388009.964 4...
26163    POLYGON ((388030.272 4070270.512, 388009.964 4...
26164    POLYGON ((388030.272 4070270.512, 388009.964 4...
26165    POLYGON ((388030.272 4070270.512, 388009.964 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",4217382.0,Chesapeake-BIT,2001
33,"26170    POLYGON ((372437.376 4119656.739, 372427.369 4...
26171    POLYGON ((372437.376 4119656.739, 372427.369 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",2078193.0,Yorktown-BIT,2001
3,"5704     POLYGON ((302726.043 4267831.113, 302718.818 4...
26166    POLYGON ((302726.043 4267831.113, 302718.818 4...
26167    POLYGON ((302726.043 4267831.113, 302718.818 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",1500430.0,Possum Point-RFO,2001
0,"5683    POLYGON ((290448.221 4139937.730, 290441.215 4...
5684    POLYGON ((290448.221 4139937.730, 290441.215 4...
5685    POLYGON ((290448.221 4139937.730, 290441.215 4...
5686    POLYGON ((290448.221 4139937.730, 290441.215 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",1454917.0,Chesterfield-NG,2001
32,"26152    POLYGON ((-17948.157 4152148.272, -17955.102 4...
26153    POLYGON ((-17948.157 4152148.272, -17955.102 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",1442278.0,Glen Lyn-BIT,2001
48,"10661    POLYGON ((285993.059 4188752.705, 285986.775 4...
10662    POLYGON ((285993.059 4188752.705, 285986.775 4...
10663    POLYGON ((285993.059 4188752.705, 285986.775 4...
10664    POLYGON ((285993.059 4188752.705, 285986.775 4...
10665    POLYGON ((285993.059 4188752.705, 285986.775 4...
10666    POLYGON ((285993.059 4188752.705, 285986.775 4...
10667    POLYGON ((285993.059 4188752.705, 285986.775 4...
10668    POLYGON ((285993.059 4188752.705, 285986.775 4...
10669    POLYGON ((285993.059 4188752.705, 285986.775 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",1304859.32,Doswell Energy Center-NG,2001
20,"10916    POLYGON ((286271.603 4148190.087, 286265.467 4...
10917    POLYGON ((286271.603 4148190.087, 286265.467 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",1274299.248,Spruance Operating Services LLC-BIT,2001
34,"27431    POLYGON ((184973.375 4056304.680, 184969.741 4...
27432    POLYGON ((184973.375 4056304.680, 184969.741 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",754686.0,Mecklenburg Power Station-BIT,2001
52,"10353    POLYGON ((305694.532 4285314.985, 305691.659 4...
10354    POLYGON ((305694.532 4285314.985, 305691.659 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",596655.0,Covanta Fairfax Energy-MSW,2001
21,"27023    POLYGON ((299230.350 4129891.595, 299228.359 4...
27024    POLYGON ((299230.350 4129891.595, 299228.359 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",413517.732,James River Genco LLC-BIT,2001
27,"10844    POLYGON ((329454.157 4061112.526, 329452.392 4...
27487    POLYGON ((329454.157 4061112.526, 329452.392 4...
27488    POLYGON ((329454.157 4061112.526, 329452.392 4...
27489    POLYGON ((329454.157 4061112.526, 329452.392 4...
27490    POLYGON ((329454.157 4061112.526, 329452.392 4...
27491    POLYGON ((329454.157 4061112.526, 329452.392 4...
27492    POLYGON ((329454.157 4061112.526, 329452.392 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",366641.464,International Paper Franklin Mill-BLQ,2001
6,"9315    POLYGON ((298112.245 4129668.170, 298110.738 4...
9316    POLYGON ((298112.245 4129668.170, 298110.738 4...
9317    POLYGON ((298112.245 4129668.170, 298110.738 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",312990.87,Hopewell Cogeneration-NG,2001
17,"5725    POLYGON ((204988.425 4055510.672, 204987.294 4...
5726    POLYGON ((204988.425 4055510.672, 204987.294 4...
5727    POLYGON ((204988.425 4055510.672, 204987.294 4...
5728    POLYGON ((204988.425 4055510.672, 204987.294 4...
5729    POLYGON ((204988.425 4055510.672, 204987.294 4...
5730    POLYGON ((204988.425 4055510.672, 204987.294 4...
5731    POLYGON ((204988.425 4055510.672, 204987.294 4...
5732    POLYGON ((204988.425 4055510.672, 204987.294 4...
5733    POLYGON ((204988.425 4055510.672, 204987.294 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",234813.0,John H Kerr-WAT,2001
50,"8749    POLYGON ((340725.728 4156221.596, 340724.670 4...
8750    POLYGON ((340725.728 4156221.596, 340724.670 4...
8751    POLYGON ((340725.728 4156221.596, 340724.670 4...
8752    POLYGON ((340725.728 4156221.596, 340724.670 4...
8753    POLYGON ((340725.728 4156221.596, 340724.670 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",219736.34100000001,WestRock-West Point Mill-BLQ,2001
41,"12084    POLYGON ((383890.707 4074399.453, 383889.872 4...
12085    POLYGON ((383890.707 4074399.453, 383889.872 4...
12086    POLYGON ((383890.707 4074399.453, 383889.872 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",173298.0,Wheelabrator Portsmouth-MSW,2001
51,"5648    POLYGON ((3505.981 4117810.404, 3505.316 41177...
5649    POLYGON ((3505.981 4117810.404, 3505.316 41177...
5650    POLYGON ((3505.981 4117810.404, 3505.316 41177...
5651    POLYGON ((3505.981 4117810.404, 3505.316 41177...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",138214.0,Claytor-WAT,2001
35,"11859    POLYGON ((219306.021 4224499.221, 219305.411 4...
11860    POLYGON ((219306.021 4224499.221, 219305.411 4...
11861    POLYGON ((219306.021 4224499.221, 219305.411 4...
11862    POLYGON ((219306.021 4224499.221, 219305.411 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",126747.69900000001,Gordonsville Energy LP-NG,2001
37,"12742    POLYGON ((-135264.726 4081235.169, -135265.173...
12743    POLYGON ((-135264.726 4081235.169, -135265.173...
12744    POLYGON ((-135264.726 4081235.169, -135265.173...
12745    POLYGON ((-135264.726 4081235.169, -135265.173...
12746    POLYGON ((-135264.726 4081235.169, -135265.173...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",92858.0,Wolf Hills Energy-NG,2001
23,"8141    POLYGON ((258543.350 4269839.482, 258542.979 4...
8142    POLYGON ((258543.350 4269839.482, 258542.979 4...
8143    POLYGON ((258543.350 4269839.482, 258542.979 4...
8144    POLYGON ((258543.350 4269839.482, 258542.979 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",77039.0,Remington-NG,2001
47,"10757    POLYGON ((383308.660 4070710.958, 383308.366 4...
10758    POLYGON ((383308.660 4070710.958, 383308.366 4...
10759    POLYGON ((383308.660 4070710.958, 383308.366 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",61046.58,Elizabeth River Power Station-NG,2001
19,"7523    POLYGON ((290683.935 4152779.477, 290683.645 4...
7524    POLYGON ((290683.935 4152779.477, 290683.645 4...
7525    POLYGON ((290683.935 4152779.477, 290683.645 4...
7526    POLYGON ((290683.935 4152779.477, 290683.645 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",60261.0,Darbytown-NG,2001
1,"27112    POLYGON ((158632.612 4219469.961, 158632.361 4...
27113    POLYGON ((158632.612 4219469.961, 158632.361 4...
27114    POLYGON ((158632.612 4219469.961, 158632.361 4...
27115    POLYGON ((158632.612 4219469.961, 158632.361 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",52273.0,Waynesboro Virginia Plant-BIT,2001
43,"5644    POLYGON ((-29631.129 4087567.574, -29631.307 4...
5645    POLYGON ((-29631.129 4087567.574, -29631.307 4...
5646    POLYGON ((-29631.129 4087567.574, -29631.307 4...
5647    POLYGON ((-29631.129 4087567.574, -29631.307 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",36948.0,Byllesby 2-WAT,2001
22,"5654    POLYGON ((108689.806 4114300.626, 108689.645 4...
5655    POLYGON ((108689.806 4114300.626, 108689.645 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",33537.0,Leesville-WAT,2001
60,"5668    POLYGON ((414188.011 4125452.875, 414187.875 4...
5669    POLYGON ((414188.011 4125452.875, 414187.875 4...
5670    POLYGON ((414188.011 4125452.875, 414187.875 4...
5671    POLYGON ((414188.011 4125452.875, 414187.875 4...
5672    POLYGON ((414188.011 4125452.875, 414187.875 4...
5673    POLYGON ((414188.011 4125452.875, 414187.875 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",28250.001,Bayview-DFO,2001
24,"5641    POLYGON ((-29968.841 4090089.523, -29968.974 4...
5642    POLYGON ((-29968.841 4090089.523, -29968.974 4...
5643    POLYGON ((-29968.841 4090089.523, -29968.974 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",27772.0,Buck Hydro-WAT,2001
7,"11623    POLYGON ((305420.555 4284663.624, 305420.434 4...
11624    POLYGON ((305420.555 4284663.624, 305420.434 4...
11625    POLYGON ((305420.555 4284663.624, 305420.434 4...
11626    POLYGON ((305420.555 4284663.624, 305420.434 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",25283.998,I 95 Landfill Phase II-LFG,2001
10,"27437    POLYGON ((305419.581 4284663.624, 305419.464 4...
27438    POLYGON ((305419.581 4284663.624, 305419.464 4...
27439    POLYGON ((305419.581 4284663.624, 305419.464 4...
27440    POLYGON ((305419.581 4284663.624, 305419.464 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",24310.001,I 95 Municipal Landfill Phase I-LFG,2001
28,"7364    POLYGON ((349861.816 4113683.320, 349861.699 4...
7365    POLYGON ((349861.816 4113683.320, 349861.699 4...
7366    POLYGON ((349861.816 4113683.320, 349861.699 4...
7367    POLYGON ((349861.816 4113683.320, 349861.699 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",24274.0,Gravel Neck-NG,2001
13,"5708    POLYGON ((301249.613 4267831.113, 301249.498 4...
5709    POLYGON ((301249.613 4267831.113, 301249.498 4...
5710    POLYGON ((301249.613 4267831.113, 301249.498 4...
5711    POLYGON ((301249.613 4267831.113, 301249.498 4...
5712    POLYGON ((301249.613 4267831.113, 301249.498 4...
5713    POLYGON ((301249.613 4267831.113, 301249.498 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",24000.0,Possum Point-DFO,2001
46,"5658    POLYGON ((129790.614 4154570.255, 129790.515 4...
5659    POLYGON ((129790.614 4154570.255, 129790.515 4...
5660    POLYGON ((129790.614 4154570.255, 129790.515 4...
5661    POLYGON ((129790.614 4154570.255, 129790.515 4...
5662    POLYGON ((129790.614 4154570.255, 129790.515 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",20448.0,Reusens-WAT,2001
18,"9459    POLYGON ((-34819.383 4080005.340, -34819.464 4...
9460    POLYGON ((-34819.383 4080005.340, -34819.464 4...
9461    POLYGON ((-34819.383 4080005.340, -34819.464 4...
9462    POLYGON ((-34819.383 4080005.340, -34819.464 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",16974.0,Fries Hydroelectric Project-WAT,2001
55,"5719    POLYGON ((12962.896 4071769.297, 12962.831 407...
5720    POLYGON ((12962.896 4071769.297, 12962.831 407...
5721    POLYGON ((12962.896 4071769.297, 12962.831 407...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",13600.999,Pinnacles-WAT,2001
5,"7362    POLYGON ((349851.090 4113683.320, 349851.024 4...
7363    POLYGON ((349851.090 4113683.320, 349851.024 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",13548.0,Gravel Neck-DFO,2001
53,"5700     POLYGON ((383825.473 4070270.512, 383825.412 4...
5701     POLYGON ((383825.473 4070270.512, 383825.412 4...
5702     POLYGON ((383825.473 4070270.512, 383825.412 4...
5703     POLYGON ((383825.473 4070270.512, 383825.412 4...
26158    POLYGON ((383825.473 4070270.512, 383825.412 4...
26160    POLYGON ((383825.473 4070270.512, 383825.412 4...
26161    POLYGON ((383825.473 4070270.512, 383825.412 4...
26162    POLYGON ((383825.473 4070270.512, 383825.412 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",12583.0,Chesapeake-DFO,2001
40,"10764    POLYGON ((-10844.145 4148643.528, -10844.205 4...
10765    POLYGON ((-10844.145 4148643.528, -10844.205 4...
10766    POLYGON ((-10844.145 4148643.528, -10844.205 4...
10767    POLYGON ((-10844.145 4148643.528, -10844.205 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",12447.708,Celanese Acetate LLC-NG,2001
11,"5734    POLYGON ((51183.782 4082309.929, 51183.723 408...
5735    POLYGON ((51183.782 4082309.929, 51183.723 408...
5736    POLYGON ((51183.782 4082309.929, 51183.723 408...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",12344.0,Philpott Lake-WAT,2001
30,"10822    POLYGON ((180932.579 4254697.952, 180932.527 4...
10824    POLYGON ((180932.579 4254697.952, 180932.527 4...
10825    POLYGON ((180932.579 4254697.952, 180932.527 4...
10826    POLYGON ((180932.579 4254697.952, 180932.527 4...
22771    POLYGON ((180932.579 4254697.952, 180932.527 4...
22772    POLYGON ((180932.579 4254697.952, 180932.527 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",10830.0,Elkton-NG,2001
56,"5687    POLYGON ((113171.246 4169678.411, 113171.200 4...
5688    POLYGON ((113171.246 4169678.411, 113171.200 4...
5689    POLYGON ((113171.246 4169678.411, 113171.200 4...
5690    POLYGON ((113171.246 4169678.411, 113171.200 4...
5691    POLYGON ((113171.246 4169678.411, 113171.200 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",9458.0,Cushaw-WAT,2001
38,"11497    POLYGON ((103332.124 4057078.576, 103332.079 4...
11498    POLYGON ((103332.124 4057078.576, 103332.079 4...
11499    POLYGON ((103332.124 4057078.576, 103332.079 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",9356.999,Schoolfield Dam-WAT,2001
54,"5717    POLYGON ((113894.040 4167498.572, 113894.000 4...
5718    POLYGON ((113894.040 4167498.572, 113894.000 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",8439.999,Snowden-WAT,2001
31,"5656    POLYGON ((72497.449 4134249.508, 72473.372 413...
5657    POLYGON ((72497.449 4134249.508, 72473.372 413...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",4955.0,Niagara-WAT,2001
12,"9750    POLYGON ((276295.735 4064203.860, 276271.658 4...
9751    POLYGON ((276295.735 4064203.860, 276271.658 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",4030.0,Emporia-WAT,2001
44,"5722    POLYGON ((68421.205 4068741.450, 68397.129 406...
5723    POLYGON ((68421.205 4068741.450, 68397.129 406...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",1983.001,Martinsville-WAT,2001
36,"8056     POLYGON ((287954.521 4291363.372, 287930.444 4...
8057     POLYGON ((287954.521 4291363.372, 287930.444 4...
8058     POLYGON ((287954.521 4291363.372, 287930.444 4...
8059     POLYGON ((287954.521 4291363.372, 287930.444 4...
8060     POLYGON ((287954.521 4291363.372, 287930.444 4...
26724    POLYGON ((287954.521 4291363.372, 287930.444 4...
26725    POLYGON ((287954.521 4291363.372, 287930.444 4...
26726    POLYGON ((287954.521 4291363.372, 287930.444 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",1931.0020000000002,Dominion/Lo Mar-DFO,2001
15,"7744     POLYGON ((287016.419 4290971.401, 286992.343 4...
7745     POLYGON ((287016.419 4290971.401, 286992.343 4...
7746     POLYGON ((287016.419 4290971.401, 286992.343 4...
7747     POLYGON ((287016.419 4290971.401, 286992.343 4...
7748     POLYGON ((287016.419 4290971.401, 286992.343 4...
7749     POLYGON ((287016.419 4290971.401, 286992.343 4...
7750     POLYGON ((287016.419 4290971.401, 286992.343 4...
7751     POLYGON ((287016.419 4290971.401, 286992.343 4...
26617    POLYGON ((287016.419 4290971.401, 286992.343 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",1887.999,VMEA 1 Credit Gen-DFO,2001
8,"9758    POLYGON ((154819.967 4077841.851, 154795.891 4...
9759    POLYGON ((154819.967 4077841.851, 154795.891 4...
9760    POLYGON ((154819.967 4077841.851, 154795.891 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",1840.999,Halifax-WAT,2001
57,"5692    POLYGON ((74066.591 4192358.463, 74042.515 419...
5693    POLYGON ((74066.591 4192358.463, 74042.515 419...
5694    POLYGON ((74066.591 4192358.463, 74042.515 419...
5695    POLYGON ((74066.591 4192358.463, 74042.515 419...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",1615.0,Low Moor-DFO,2001
39,"10140    POLYGON ((119962.777 4163042.286, 119938.701 4...
10141    POLYGON ((119962.777 4163042.286, 119938.701 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",1330.386,Georgia-Pacific Big Island-WAT,2001
58,"5696    POLYGON ((354671.336 4201648.042, 354647.260 4...
5697    POLYGON ((354671.336 4201648.042, 354647.260 4...
5698    POLYGON ((354671.336 4201648.042, 354647.260 4...
5699    POLYGON ((354671.336 4201648.042, 354647.260 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",1190.0,Northern Neck-DFO,2001
16,"7752    POLYGON ((287016.419 4290971.401, 286992.343 4...
7753    POLYGON ((287016.419 4290971.401, 286992.343 4...
7754    POLYGON ((287016.419 4290971.401, 286992.343 4...
7755    POLYGON ((287016.419 4290971.401, 286992.343 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",910.002,VMEA Peaking Gen-DFO,2001
25,"7740    POLYGON ((287016.419 4290971.401, 286992.343 4...
7741    POLYGON ((287016.419 4290971.401, 286992.343 4...
7742    POLYGON ((287016.419 4290971.401, 286992.343 4...
7743    POLYGON ((287016.419 4290971.401, 286992.343 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",906.002,Godwin Drive Plant-DFO,2001
59,"7737     POLYGON ((290975.753 4292175.250, 290951.677 4...
7738     POLYGON ((290975.753 4292175.250, 290951.677 4...
7739     POLYGON ((290975.753 4292175.250, 290951.677 4...
26614    POLYGON ((290975.753 4292175.250, 290951.677 4...
26615    POLYGON ((290975.753 4292175.250, 290951.677 4...
26616    POLYGON ((290975.753 4292175.250, 290951.677 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",899.0010000000001,Church Street Plant-DFO,2001
4,"6934     POLYGON ((417744.582 4187161.301, 417720.505 4...
6935     POLYGON ((417744.582 4187161.301, 417720.505 4...
26435    POLYGON ((417744.582 4187161.301, 417720.505 4...
26436    POLYGON ((417744.582 4187161.301, 417720.505 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",378.0,Tangier-DFO,2001
42,"8061    POLYGON ((286825.581 4289281.441, 286801.505 4...
8062    POLYGON ((286825.581 4289281.441, 286801.505 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",291.0,Gateway Gen-DFO,2001
9,"5663    POLYGON ((101542.109 4109085.098, 101518.032 4...
5664    POLYGON ((101542.109 4109085.098, 101518.032 4...
5665    POLYGON ((101542.109 4109085.098, 101518.032 4...
5666    POLYGON ((101542.109 4109085.098, 101518.032 4...
5667    POLYGON ((101542.109 4109085.098, 101518.032 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",-199219.0,Smith Mountain-WAT,2001
49,"6651    POLYGON ((84654.721 4239897.283, 84630.645 423...
6652    POLYGON ((84654.721 4239897.283, 84630.645 423...
6653    POLYGON ((84654.721 4239897.283, 84630.645 423...
6654    POLYGON ((84654.721 4239897.283, 84630.645 423...
6655    POLYGON ((84654.721 4239897.283, 84630.645 423...
6656    POLYGON ((84654.721 4239897.283, 84630.645 423...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",-1615830.0,Bath County-WAT,2001
